id,predicted_price
2591820310,368433.06
7974200820,892886.75
7701450110,1.0117416e+06
9522300010,1.9349489e+06
9510861140,702112.0
1761300310,255995.89
7732410120,792474.44
7010701383,627088.44
291310170,457646.7
4232901990,570774.0
6840701125,629977.9
3971700580,384005.4
4202400078,248291.67
6064800090,344951.8
2626119028,225777.84
3303980660,1.0889241e+06
862000020,929692.4
2386000070,1.0426028e+06
1138000450,382822.06
1775800420,467836.62
2291401425,455511.75
2025770560,917405.5
3525069037,693781.06
9324800450,542157.44
8080400136,544236.25
8651540040,529456.2
9407001790,241500.36
1773101530,203278.56
9432900250,336304.22
1794500695,645626.0
2220069003,338111.88
923000120,451669.34
5728000060,546288.25
16000200,249113.94
1926059094,414581.34
6672900220,965013.44
3629860060,758062.2
1822069109,433697.62
6675500105,382758.0
249000180,1.7779639e+06
226059065,535199.25
396100110,262963.16
9264450460,305643.38
7853361210,370373.25
9474700020,292866.8
421000455,241691.69
3755200220,419434.75
7960100075,513168.44
9477100490,401137.03
9138100350,815645.44
1624049275,496204.3
2770606890,579158.6
1157200189,435031.97
2770601800,522915.9
9301300805,563033.94
2325069032,1.1260019e+06
1021079099,349235.1
7215730040,745237.7
1853200080,419501.22
3224600340,698275.9
3222049120,421916.9
2113700025,274653.03
7893207925,228298.88
3586501085,612738.25
8024200010,412326.0
7116500705,182669.5
1598600209,309121.0
7204200025,961746.44
4206901505,577715.3
2937300440,901112.94
7205000180,327711.22
8718500665,379526.44
5318101765,1.0015444e+06
4122700020,980191.44
8078700020,501509.16
3303980680,911756.25
8924100372,1.2179819e+06
2781270210,214068.3
519000043,595050.94
3225069301,1.5384016e+06
151000075,771444.8
2297400020,431002.88
6617500085,614702.25
104510180,244346.58
3528900060,917636.25
3345100286,562815.6
1226039130,438017.8
8712100720,797997.44
3037200010,357112.97
3626039268,446851.94
104510230,258550.64
5112800060,409048.03
6072400280,638898.06
5317100570,1.0453404e+06
9528102993,562689.6
2919201095,499791.4
6181400920,240621.19
185000161,229887.77
8691400010,772657.44
3345700165,586639.75
6151800486,245661.08
4340000080,1.3314426e+06
4136960010,589204.44
3634100030,334810.12
1624059224,1.0582698e+06
2788400090,275537.1
9828200762,446757.44
7524400250,553698.4
3528000290,709810.8
5700003630,1.9126919e+06
2720069019,330087.4
7227501170,245779.94
2397101270,661705.4
6792100090,769858.9
2770602265,568379.94
3971700937,289312.44
422049203,233802.33
3076500830,335621.84
1423400260,291392.06
9161100795,460051.56
3126049052,525855.4
5100401468,416800.72
514500235,443136.1
1423200170,198544.72
1402100070,400070.03
624110020,717362.44
2407000145,207320.16
1890000225,902519.8
1320069271,334007.4
5490700085,371316.2
263000155,470219.53
3726800201,380539.9
5153200358,310278.78
2725079018,773174.9
7165700200,248125.58
9429000170,595206.75
8718500075,381890.53
1760650950,289585.53
1068000559,1.3670101e+06
4113800500,671472.06
4077800507,569784.6
2725069150,746406.7
4008400035,554712.94
7016310270,404981.44
1432701230,222085.3
3278606050,341812.78
2473350710,432132.4
2185000685,179124.19
7792000025,336604.38
6868200029,468778.5
624069003,730181.8
7431500280,910760.7
3296000040,577784.1
1118001215,1.6012962e+06
6453900040,643719.2
333100209,726523.06
34001765,624821.5
8946700100,382649.9
5561401210,532454.9
6671900095,379142.75
3275850020,725152.8
3876300600,407023.62
1450900020,257086.92
8562780280,320525.88
7663700973,317688.1
2126049032,362749.7
1823059159,203696.38
3438503426,304581.62
9297301495,593158.56
7140700850,353039.6
7942601805,753357.6
2555900030,349871.88
2887970040,277638.22
7419700010,675579.0
2239000011,388078.8
9283800050,337709.84
9407001340,278473.88
217500140,571348.7
7212660520,229081.05
3298201170,384106.28
3057000400,276141.72
6865200444,500588.3
6071600340,522191.2
6821600005,637479.3
1235100371,852360.3
7796450340,331467.16
3603000410,152443.77
9297300255,565090.25
9126100850,572228.4
2770601462,500319.75
2599001500,228567.23
1102000095,877201.4
1853080640,934553.1
9551201585,1.084933e+06
3438500796,335440.8
7518504291,498273.5
9269200340,455068.7
715010130,1.6554781e+06
1982201485,600259.44
9526500080,388928.94
9277200180,468902.38
6669150280,287309.38
8917100153,586627.9
3760500516,941995.25
2725069050,980123.6
3332000091,320715.78
8562770080,594671.94
8151601190,281965.2
8563040160,600200.06
240000269,770598.2
4307350200,291155.94
1311910300,267033.88
3574900030,491474.28
7853230570,428086.72
320069049,306942.94
9839301060,658865.9
7011201333,648683.7
2781320100,301748.22
3421069120,493441.44
7852030320,448106.5
